,시도명,시군구명,대학교 개수,대학생수,남학생수,여학생수,교직원수,남자교직원수,여자교직원수
0,서울특별시,종로구,8,209210,85711,123499,1627,928,699
1,서울특별시,중구,3,30691,13653,17038,657,309,348
2,서울특별시,용산구,3,16903,1806,15097,384,107,277
3,서울특별시,성동구,3,58547,27916,30631,954,369,585
4,서울특별시,광진구,4,61839,34984,26855,1091,536,555
5,서울특별시,동대문구,6,105439,50390,55049,2149,969,1180
6,서울특별시,중랑구,2,14766,7913,6853,131,86,45
7,서울특별시,성북구,8,105672,46580,59092,3036,1388,1648
8,서울특별시,강북구,2,19417,9604,9813,102,47,55
9,서울특별시,도봉구,1,6747,6,6741,164,57,107
10,서울특별시,노원구,6,55330,28750,26580,1300,584,716
11,서울특별시,은평구,1,692,305,387,18,7,11
12,서울특별시,서대문구,8,101197,38303,62894,2342,864,1478
13,서울특별시,마포구,2,37487,19619,17868,644,279,365
14,서울특별시,양천구,0,29,0,29,0,0,0
15,서울특별시,강서구,4,15876,7779,8097,156,83,73
16,서울특별시,구로구,3,14353,9780,4573,239,135,104
17,서울특별시,금천구,1,179,37,142,9,5,4
18,서울특별시,영등포구,3,223,78,145,17,4,13
19,서울특별시,동작구,5,57443,30861,26582,973,474,499
20,서울특별시,관악구,3,35021,20658,14363,3169,1287,1882
21,서울특별시,서초구,7,20253,8398,11855,500,210,290
22,서울특별시,강남구,3,1582,783,799,39,29,10
23,서울특별시,송파구,1,3846,2621,1225,159,87,72
24,서울특별시,강동구,1,103,11,92,9,6,3
