,시도명,시군구명,월평균_추정매출(만원),월평균 배달주문건수
0,서울특별시, 강남구,1831,157
1,서울특별시, 강동구,1278,145
2,서울특별시, 강북구,1209,182
3,서울특별시, 강서구,1382,177
4,서울특별시, 관악구,1278,227
5,서울특별시, 광진구,1154,162
6,서울특별시, 구로구,1123,140
7,서울특별시, 금천구,1192,159
8,서울특별시, 노원구,1308,148
9,서울특별시, 도봉구,1091,162
10,서울특별시, 동대문구,1089,159
11,서울특별시, 동작구,1354,156
12,서울특별시, 마포구,1337,178
13,서울특별시, 서대문구,1246,163
14,서울특별시, 서초구,1602,124
15,서울특별시, 성동구,1754,135
16,서울특별시, 성북구,1317,165
17,서울특별시, 송파구,1518,151
18,서울특별시, 양천구,1200,164
19,서울특별시, 영등포구,1374,148
20,서울특별시, 용산구,1503,170
21,서울특별시, 은평구,858,180
22,서울특별시, 종로구,1671,138
23,서울특별시, 중구,1754,153
24,서울특별시, 중랑구,1063,166
